股票代码    名称    持仓成本    持仓数量
601169    北京银行    5.657    3600
000001    平安银行    11.516    800
000651    格力电器    40.285    200
000858    五粮液    120.25    100
002014    永新股份    11.577    300
601288    农业银行    8.4    2000
600036    招商银行    0    0
601939    建设银行    0    0
601398    工商银行    0    0
002142    宁波银行    0    0
600519    贵州茅台    0    0
000568    泸州老窖    0    0
600809    山西汾酒    0    0
603369    今世缘    0    0
000333    美的集团    0    0
600690    海尔智家    0    0
600900    长江电力    0    0
600905    三峡能源    0    0
600011    华能国际    0    0
601318    中国平安    0    0
601628    中国人寿    0    0
601899    紫金矿业    0    0
601088    中国神华    0    0
601225    陕西煤业    0    0
600703    三安光电    0    0
002475    立讯精密    0    0
603501    韦尔股份    0    0
300124    汇川技术    0    0
